t,o,h,l,c,v
1769662800000,264.07,265.06,259.41,263.37,43922928.0
1769749200000,261.07,262.98,257.94,259.65,59164154.0
1770008400000,258.48,263.77,258.35,262.18,42896193.0
1770094800000,263.06,265.0599,258.551,262.78,54588013.0
1770181200000,264.16,264.65,257.14,260.52,48826545.0
1770267600000,258.5,261.62,255.05,255.83,48279639.0
1770354000000,259.74,265.72,259.58,265.02,43354860.0
1770613200000,264.84,267.67,263.34,266.88,29064849.0
1770699600000,267.23,268.52,265.88,266.16,24661655.0
1770786000000,268.47,268.96,262.1,264.95,41829428.0
1770872400000,267.02,267.46,258.39,259.54,47628169.0
1770958800000,260.6,265.17,258.51,262.96,45360322.0
1771304400000,262.375,264.36,259.06,263.04,33734782.0
1771390800000,263.03,266.91,261.85,263.99,36034689.0
1771477200000,262.57,264.64,261.075,264.6,31005952.0
1771563600000,262.85,267.33,262.14,264.61,47126576.0
1771822800000,263.4,264.37,258.1,260.49,44001083.671187
1771909200000,260.4,264.14,259.86,263.33,34884242.68506
1771995600000,265.25,265.2814,262.43,264.58,26012137.481376
1772082000000,265.01,266.235,262.12,265.99,41206465.21938
1772168400000,262.095,262.76,259.77,261.41,40631480.030038
1772427600000,257.81,264.28,257.79,263.81,53495715.801905
1772514000000,256.8,261.12,253.31,259.24,59536971.890743
1772600400000,261.2,262.96,258.82,261.76,37979725.310832
1772686800000,258.99,260.755,254.16,256.76,60414629.450999
1772773200000,251.49,253.2999,249.94,250.89,64191990.166088
1773028800000,247.59,254.65,244.39,253.62,65369511.465864
1773115200000,252.96,257.65,252.4,253.36,55879095.583183
1773201600000,252.34,254.38,250.58,252.85,50418071.670954
1773288000000,248.94,249.805,246.575,247.41,61802935.354316
1773374400000,249.26,250.61,245.535,246.59,53933299.065538
1773633600000,249.76,251.465,248.31,248.92,48755653.53079
1773720000000,249.87,251.71,248.96,250.05,40642765.533589
1773806400000,248.41,249.23,245.88,246.02,43192622.418559
1773892800000,243.03,250.085,242.52,247.63,59219537.004159
1773979200000,246.97,247.5,240.33,242.22,76749856.164164
1774238400000,247.17,251.36,246.11,247.45,78746581.642857
1774324800000,245.51,250.16,244.6,248.78,45210764.559149
1774411200000,251.74,253.07,249.52,251.82,45671741.835085
